depa,year,MED,MEDTASA,ENF,EFNTASA,OBST,ODON,HOSPN,HOSPTASA,CENTRON,PUESTON,CAMAN,CAMATASA,CAMATASA2,CONSLTASA,EGRESTASA,EGRESTASA2,PARTOSSPORC,ATPRENPORC,ATPARTOPORC,DPT,OPV,BCG,ASO,ACMODPARADOLES,ACMODPARADULT,ACNATPARADOLES,ACNATPARADULT,ACTRAD,ACMOD,ACTOTAL,SEGUROPORC,SISAFILIACN,SISFILIAPORC,SISATENCN,GENEROAFP,COMSALUDN,ESCSALUDN,BUSQAYUDAVIOLEN,GESTFESO4
Arequipa,2003,1201,10.8,1367,12.3,342,186,9,0.08,72,190,1866,,,0.7,19.5,,79.4,89.2,77.6,92.9,93.3,92.8,89.5,,,,,,57.6,75.4,47.1,,,,51.3,,,17.8,
Arequipa,2004,1760,15.6,1945,17.3,413,241,8,0.07,73,191,1611,,,1,28,,79.4,89.2,77.6,92.4,92.6,89.2,93.8,,,,,,57.6,75.4,41,309170,27.4,540144,51.3,,,17.8,
Arequipa,2005,1309,11.5,1360,11.9,391,190,9,0.08,56,209,1652,,,1.8,34.6,,79.4,89.2,77.6,92.5,95.2,100.2,93,,,,,,57.6,75.4,40.9795175,309170,27.1,540144,51.3,,,,
Arequipa,2006,1309,11.5,1360,11.9,391,190,9,0.08,56,209,1652,,,1.8,34.6,,67.4,,,86.7,93.1,98.8,92.5,0.931140872,1.357015929,0.279043134,0.180237355,,,,,368324,32.3,651683,51.3,86,230,,20.21836684
Arequipa,2007,1309,11.5,1360,11.9,391,190,9,0.08,56,209,1652,,,1.8,34.6,,67.4,,,93.3,94,97.8,92.7,,,,,23.1,50.9,74.4,,330468,29,752526,51.3,86,230,,20.2
Arequipa,2008,1176,9.8,1367,11.4,394,188,9,0.07,60,202,1510,,,2.2,67.8,,84,,,100,100,100,90.5,,,,,23.36979885,50.59697121,74.29746319,,279937,23.3,1002733,,27,322,,4.440696595
Arequipa,2009,1450,12,1621,13.4,507,263,18,0.15,121,192,1721,,,2.4,65,,92.4,,92.8,65.7,66,70.1,57.2,,,,,19.7,56,75.7,,320441,26.6,834784,,108,436,,73.5
Arequipa,2010,1553,12.6,1773,14.4,518,258,20,0.16,129,197,1964,,,2.6,63.8,,95,,95.3,73.8,80,94.8,86.6,,,,,47.96580795,23.31393277,,,332128,27,1136329,,,,,
Arequipa,2011,1553,12.5,1773,14.2,518,258,20,0.16,129,197,1964,,,2.6,63.8,,97.2,,95.8,86.8,91.6,97.9,86.5,45.9,29.3,,,,,,,302647,24.3,935605,,,,,
Arequipa,2012,1679,13.3,1898,15.1,598,280,22,0.17,162,207,2148,,,2.6,62.3,,93.3,,85.2,84.2,82.3,96.7,85.2,52.9,26.1,,,,,,,244551,19.4,797447,,,,,
Ayacucho,2001,225,4.3,309,5.7,,1.1,12,0.23,45,273,1072,2.1,20.7,2.7,34.5,344.5,47.2,80.9,55.7,100,100,100,100,,,,,,33.1,55.4,,,,,,,,,
Ayacucho,2002,237,4.3,314,5.7,,1.1,12,0.23,45,273,1072,2.07,20.7,2.7,34.5,344.5,47.2,80.9,55.7,103.7,106.2,104.1,99.4,,,,,,33.1,55.4,,,,,,,,,
Ayacucho,2003,256,4.6,474,8.4,266,80,9,0.16,51,327,989,,,0.7,27.3,,47.2,80.9,55.7,100,98.2,93.9,100,,,,,,33.1,55.4,38.8,,,,42.3,,,16.9,
Ayacucho,2004,255,4.5,474,8.3,267,80,9,0.16,54,331,942,,,0.7,40.9,,47.2,80.9,55.7,100,100,100,100,,,,,,33.1,55.4,39.1,434852,76.1,543505,42.3,,,16.9,
Ayacucho,2005,191,3.3,361,6.2,226,56,9,0.15,49,300,987,,,0.9,42.7,,47.2,80.9,55.7,95.2,96.8,99.1,101.2,,,,,,33.1,55.4,39.05119031,434852,74.8,543505,42.3,,,,
