year,ubigeo,distrito,poptot,new_casos,tbpfp,morbi,tbp_new,mdr,xdr,incidencia,tasa_tbpfp,tasa_morbi,tasa_tbp_new
2004,150138,Santa Maria del Mar,525,0,0,0,0,0,0,0,0,0,0
2005,150138,Santa Maria del Mar,590,0,0,0,0,0,0,0,0,0,0
2006,150138,Santa Maria del Mar,666,0,0,0,0,0,0,0,0,0,0
2007,150138,Santa Maria del Mar,757,0,0,0,0,0,0,0,0,0,0
2011,150138,Santa Maria del Mar,1333,0,0,0,0,0,0,0,0,0,0
2012,150138,Santa Maria del Mar,1220,0,0,0,0,0,0,0,0,0,0
2004,150139,Santa Rosa,8476,9,7,9,9,0,0,106.2,82.6,106.2,106.2
2005,150139,Santa Rosa,9096,16,10,16,13,0,0,175.9,109.9,175.9,142.9
2006,150139,Santa Rosa,9762,7,6,7,7,0,0,71.7,61.5,71.7,71.7
2007,150139,Santa Rosa,10481,9,7,9,7,0,0,85.9,66.8,85.9,66.8
2011,150139,Santa Rosa,13970,7,5,8,,0,0,50.1,35.8,57.3,0
2012,150139,Santa Rosa,15399,16,6,18,,0,0,103.9,39,116.9,0
2004,150140,Santiago de Surco,275711,278,168,328,230,0,0,100.8,60.9,119,83.4
2005,150140,Santiago de Surco,282332,198,142,232,156,0,0,70.1,50.3,82.2,55.3
2006,150140,Santiago de Surco,289128,134,76,179,101,0,0,46.3,26.3,61.9,34.9
2007,150140,Santiago de Surco,296122,158,86,185,114,0,0,53.4,29,62.5,38.5
2011,150140,Santiago de Surco,326239,144,102,157,,12,1,44.1,31.3,48.1,0
2012,150140,Santiago de Surco,326928,144,102,157,,8,1,44,31.2,48,0
2004,150141,Surquillo,94691,102,55,127,76,0,0,107.7,58.1,134.1,80.3
2005,150141,Surquillo,94561,104,62,125,81,0,0,110,65.6,132.2,85.7
2006,150141,Surquillo,94442,105,61,127,71,0,0,111.2,64.6,134.5,75.2
2007,150141,Surquillo,94335,82,45,92,65,0,0,86.9,47.7,97.5,68.9
2011,150141,Surquillo,94017,185,78,193,,7,0,196.8,83,205.3,0
2012,150141,Surquillo,92328,96,54,122,,5,1,104,58.5,132.1,0
2004,150142,Villa El Salvador,359344,795,420,934,662,0,0,221.2,116.9,259.9,184.2
2005,150142,Villa El Salvador,368949,797,432,933,653,0,0,216,117.1,252.9,177
2006,150142,Villa El Salvador,378827,742,407,908,602,0,0,195.9,107.4,239.7,158.9
2007,150142,Villa El Salvador,389015,655,369,818,549,0,0,168.4,94.9,210.3,141.1
2011,150142,Villa El Salvador,433114,587,365,662,,36,0,135.5,84.3,152.8,0
2012,150142,Villa El Salvador,436289,587,365,662,,29,2,134.5,83.7,151.7,0
2004,150143,Villa Maria del Triunfo,360869,650,406,742,540,0,0,180.1,112.5,205.6,149.6
2005,150143,Villa Maria del Triunfo,369397,606,394,712,496,0,0,164.1,106.7,192.7,134.3
2006,150143,Villa Maria del Triunfo,378147,589,362,718,490,0,0,155.8,95.7,189.9,129.6
2007,150143,Villa Maria del Triunfo,387149,565,270,638,378,0,0,145.9,69.7,164.8,97.6
2011,150143,Villa Maria del Triunfo,425877,652,413,691,,46,2,153.1,97,162.3,0
2012,150143,Villa Maria del Triunfo,426462,652,413,691,,33,2,152.9,96.8,162,0
